| 1 | Beta | 0 | 放牛吃草 | K | 1/x | AP |  | 就自由活動吧。 |
| 2 | Beta | 0 | 放牛吃草 | A | 1/x | CES |  | 先去辦點事。 |
| 3 | Beta | 0 | 放牛吃草 | R | 1/x | MN |  | 安靜自習！ |
| 4 | Beta | 0 | 照本宣科 | R | 0 | MN |  | 課本編得不好怎麼辦？ |
| 5 | Beta | 0 | 照本宣科 | A | 0 | MN |  | 有點不負責任。 |
| 6 | Beta | 0 | 照本宣科 | R | 0 | AP |  | 知識和迷信的界限在哪裡？ |
| 7 | Beta | 0 | 照本宣科 | A | 0 | AP |  | 站在巨人的腳印上。 |
| 8 | Beta | 0 | 照本宣科 | R | 0 | CES |  | 教育常變成複製。 |
| 9 | Beta | 0 | 照本宣科 | A | 0 | CES |  | 編課本使人成長，抄課本很難成長。 |
| 10 | Beta | 0 | 發現教學 | VR | 3/0 | MN |  | 人不能在真空中學習。 |
| 11 | Beta | 0 | 發現教學 | VA | 3/0 | CES |  | 小孩是天生的科學家。 |
| 12 | Beta | 0 | 發現教學 | VK | 3/0 | AP |  | 結論讓他自己下。 |
| 13 | Beta | 0 | 討論教學 | AV | 3/0 | MN |  | 能給問題，比給答案更重要。 |
| 14 | Beta | 0 | 討論教學 | AR | 3/0 | CES |  | 要交換意見，更要交換意見背後的視野。 |
| 15 | Beta | 0 | 討論教學 | AK | 3/0 | AP |  | 引發創意，不是灌輸知識。 |
| 16 | Beta | 0 | 實驗仿作 | VK | 3/0 | NA |  | 實驗在理論之前。 |
| 17 | Beta | 0 | 實驗仿作 | RK | 3/0 | NM |  | 思考實驗，也是一種實驗。 |
| 18 | Beta | 0 | 實驗仿作 | AK | 3/0 | NS |  | 雖然早已預知結果，實驗還是令人驚奇。 |
| 19 | Beta | 2 | 趣味數學 | ARK | 0 | MA | I | 由趣味的數學，進入數學的趣味。 |
| 20 | Beta | 2 | 趣味科學 | ARK | 0 | NS | I | 偶而裝傻好像也不錯。 |
| 21 | Beta | 0 | 武術入門 | VK | 1 | AP |  | 強身，健體，壯膽。 |
| 22 | Beta | 0 | 舞蹈入門 | AK | 1 | AP |  | 從律動開始，讓身體自由。 |
| 23 | Beta | 0 | 歌唱入門 | A | 1 | CEA |  | 欣賞自己的聲音。 |
| 24 | Beta | 0 | 精研武術 | VK | 4/x | AP |  | 不爭不鬥，止戈為武。 |
| 25 | Beta | 0 | 精研舞蹈 | AK | 4/x | AP |  | 台上一分鐘，台下十年功。 |
| 26 | Beta | 0 | 精研歌唱 | A | 4/x | CEA |  | 歌唱的技巧，聲音的表情。 |
| 27 | Beta | 0 | 指定閱讀 | R | 4/x | CES |  | 問題是他肯不肯翻開第一頁？ |
