| 編號 | 名稱 | V | A | R | K | 教學風格 | 興趣力道 | 無興趣力道 | 學科 | 文學 | 外語 | 數學 | 自然 | 社會 | 藝術 | 健體 | 特殊效果 | 斜體字 |
| 1 | 放牛吃草 | | | o | | | 3 | x | | | | | | | o | o | | 就自由活動吧。 |
| 2 | 放牛吃草 | | | o | | | 3 | x | | o | | | | o | | | | 先去辦點事。 |
| 3 | 放牛吃草 | | | o | | | 3 | x | | | | o | o | | | | | 安靜自習！ |
| 4 | 照本宣科 | | | o | | | 2 | 0 | | | | o | o | | | | | 課本編得不好怎麼辦？ |
| 5 | 照本宣科 | | | o | | | 2 | 0 | | | | o | | | o | | | 有點不負責任。 |
| 6 | 照本宣科 | | | o | | | 2 | 0 | | | | | | | o | o | | 知識和迷信的界限在哪裡？ |
| 7 | 照本宣科 | | | o | | | 2 | 0 | | | | | o | | | o | | 站在巨人的腳印上。 |
| 8 | 照本宣科 | | | o | | | 2 | 0 | | o | o | | | | | | | 教育常變成複製。 |
| 9 | 照本宣科 | | | o | | | 2 | 0 | | | o | | | o | | | | 編課本使人成長，抄課本很難成長。 |
| 10 | 發現教學 | o | | | | | 3 | 1 | | | | o | o | | | | | 人不能在真空中學習。 |
| 11 | 發現教學 | o | | | | | 3 | 1 | | o | | | | o | | | | 小孩是天生的科學家。 |
| 12 | 發現教學 | o | | | | | 3 | 1 | | | | | | | o | o | | 結論讓他自己下。 |
| 13 | 討論教學 | | o | | | | 3 | 1 | | | | o | o | | | | | 能給問題，比給答案更重要。 |
| 14 | 討論教學 | | o | | | | 3 | 1 | | o | o | | | | | | | 要交換意見，更要交換意見背後的視野。 |
| 15 | 討論教學 | | o | | | | 3 | 1 | | | | | | o | o | | | 引發創意，不是灌輸知識。 |
| 16 | 實驗仿作 | | | | o | | 3 | 1 | | | | | o | | o | | | 實驗在理論之前。 |
| 17 | 實驗仿作 | | | | o | | 3 | 1 | | | | o | o | | | | | 思考實驗，也是一種實驗。 |
| 18 | 實驗仿作 | | | | o | | 3 | 1 | | | | | o | o | | | | 雖然早已預知結果，實驗還是令人驚奇。 |
| 19 | 趣味數學 | o | o | | o | | 2 | 0 | | | | o | o | | o | | I | 由趣味的數學，進入數學的趣味。 |
| 20 | 科學遊戲 | o | o | | o | | 2 | 0 | | | o | | o | o | | | I | 偶而裝傻好像也不錯。 |
| 21 | 武術入門 | | | o | o | | x | 2 | APN | | | | o | | o | o | I | 強身，健體，壯膽。 |
| 22 | 舞蹈入門 | o | | | o | | x | 2 | APS | | | | | o | o | o | I | 從律動開始，讓身體自由。 |
| 23 | 歌唱入門 | | o | | o | | x | 2 | CEA | o | o | | | | o | | I | 欣賞自己的聲音。 |
| 24 | 精研武術 | | | o | o | | 4 | x | AP | | | | | | o | o | | 不爭不鬥，止戈為武。 |
| 25 | 精研舞蹈 | o | | | o | | 4 | x | AP | | | | | | o | o | | 台上一分鐘，台下十年功。 |
| 26 | 精研歌唱 | | o | | o | | 4 | x | CEA | o | o | | | | o | | | 歌唱的技巧，聲音的表情。 |
| 27 | 指定閱讀 | | | o | | | 4 | x | CES | o | o | | | o | | | | 問題是他肯不肯翻開第一頁？ |
| 28 | 指定閱讀 | | | o | | | 4 | x | MNAP | | | o | o | | o | o | | 有時教師比學生更了解他的需求。 |
| 29 | 自由閱讀 | | | o | | o | 2 | x | NCSP | o | | | o | o | | o | | 像風一樣，你不停地跑。 |
| 30 | 自由閱讀 | | | o | | o | 2 | x | MEA | | o | o | | | o | | | 被課本所限，就註定無知了。 |
